player_id,name,team,role,role_P,role_D,role_C,role_A,fvm,qta,ovr,prezzo_cons,titolarita_pct,titolarita,fragility_score,partite_saltate_tot,giorni_stop_tot,disponibilita_pct,recidive_muscolari,is_injured_initial,is_rigorista,is_oop,presenze_2526,mv_2526,fm_2526,xg90_2526,xa90_2526,rating_2526,presenze_2627,starts_2627,minuti_2627,gol_2627,assist_2627,tot_bonus_2627,tot_malus_2627,mv_2627,fm_2627,xg90_2627,xa90_2627,roi_fm_su_prezzo,target_fanta_media,target_gol,target_assist,target_minuti,target_roi_fvm
4375,Terzic,Frosinone,D,0,1,0,0,8.0,4.0,60.0,1.0,14.0,14.0,74.0,18,101,76.3,2,0,0,1,0,6.0,6.0,0.0,0.0,6.5,2,0,45,0,0,0.0,0.0,5.75,5.75,,,5.75,5.75,0,0,45,5.75
256,Juan Jesus,Venezia,D,0,1,0,0,10.0,4.0,60.0,1.0,27.0,27.0,57.0,7,62,90.8,2,0,0,0,24,5.88,5.67,0.0,0.0,6.5,2,1,121,0,0,0.0,0.5,5.75,5.5,,0.01,5.5,5.5,0,0,121,5.5
7538,Halhal,Venezia,D,0,1,0,0,10.0,3.0,60.0,1.0,40.0,40.0,33.0,7,42,90.8,0,0,0,0,0,6.0,6.0,0.03,0.03,6.9,2,2,153,0,0,0.0,2.5,4.75,3.5,0.07,0.0,3.5,3.5,0,0,153,3.5
6892,Schingtienne,Venezia,D,0,1,0,0,10.0,3.0,60.0,1.0,100.0,100.0,21.0,4,32,94.7,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,5,5,489,0,0,0.0,1.5,5.4,5.1,,0.01,5.1,5.1,0,0,489,5.1
2728,Pellegrini Lu.,Lazio,D,0,1,0,0,7.0,2.0,60.0,1.0,50.0,50.0,57.0,10,83,86.8,1,0,0,1,24,5.85,5.81,0.32,0.19,6.92,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7483,Alhassane,Bologna,D,0,1,0,0,6.0,2.0,60.0,1.0,40.0,40.0,13.0,2,11,97.4,0,0,0,1,0,6.0,6.0,0.0,0.06,6.64,2,2,148,0,0,0.0,0.0,5.75,5.75,0.17,0.03,5.75,5.75,0,0,148,5.75
7253,Bella-Kotchap,Venezia,D,0,1,0,0,13.0,5.0,60.0,1.0,60.0,60.0,89.0,14,132,81.6,2,1,0,0,19,5.84,5.76,0.01,0.02,6.5,3,3,212,0,0,0.0,0.0,5.33,5.33,0.12,0.01,5.33,5.33,0,0,212,5.33
7312,Arizala,Udinese,D,0,1,0,0,8.0,4.0,59.0,1.0,7.0,7.0,36.0,4,75,94.7,0,1,0,1,10,5.9,5.9,0.0,0.0,6.5,1,0,10,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,10,6.0
6601,Kambwala,Como,D,0,1,0,0,8.0,3.0,59.0,1.0,50.0,50.0,50.0,37,214,51.3,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
7202,Ndiaye,Parma,D,0,1,0,0,8.0,2.0,59.0,1.0,20.0,20.0,50.0,17,103,77.6,0,0,0,0,11,5.59,5.36,0.0,0.0,6.5,1,1,99,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,99,6.0
7260,Ziolkowski,Monza,D,0,1,0,0,8.0,1.0,59.0,1.0,50.0,50.0,32.0,3,15,96.1,0,0,0,0,18,5.97,5.89,0.0,0.0,6.5,0,0,0,0,0,0.0,0.0,,,,,,,0,0,0,
5307,Valenti,Parma,D,0,1,0,0,10.0,4.0,59.0,1.0,7.0,7.0,94.0,14,117,81.6,2,0,0,0,27,5.96,5.83,0.02,0.03,6.89,1,0,51,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,51,6.0
5757,Cittadini,Frosinone,D,0,1,0,0,8.0,4.0,58.0,1.0,74.0,74.0,70.0,30,227,60.5,0,0,0,0,0,6.0,6.0,0.0,0.0,6.5,5,3,300,0,0,0.0,0.5,5.8,5.7,0.02,0.01,5.7,5.7,0,0,300,5.7
7548,Aurelio,Cagliari,D,0,1,0,0,5.0,2.0,58.0,1.0,7.0,7.0,37.0,8,59,89.5,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,1,0,9,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,9,6.0
7573,Cinquegrano,Sassuolo,D,0,1,0,0,4.0,2.0,57.0,1.0,100.0,100.0,17.0,3,13,96.1,0,0,0,1,0,6.0,6.0,0.0,0.0,6.5,5,5,490,0,1,1.0,0.0,5.9,6.1,0.08,0.02,6.1,6.1,0,1,490,6.1
791,Sabelli,Genoa,D,0,1,0,0,5.0,2.0,57.0,1.0,20.0,20.0,25.0,0,0,100.0,0,0,0,1,16,5.84,5.72,0.0,0.0,6.5,1,1,47,0,0,0.0,0.0,5.0,5.0,,,5.0,5.0,0,0,47,5.0
2263,Lazzari,Lazio,D,0,1,0,0,5.0,2.0,57.0,1.0,21.0,21.0,75.0,20,139,73.7,5,0,0,1,23,5.85,5.8,0.01,0.03,6.5,3,0,44,0,0,0.0,0.0,6.0,6.0,,,6.0,6.0,0,0,44,6.0
7182,Ndaba,Lecce,D,0,1,0,0,5.0,2.0,57.0,1.0,27.0,27.0,5.0,0,0,100.0,0,0,0,1,14,5.68,5.68,0.0,0.0,6.5,2,1,148,0,0,0.0,0.0,5.5,5.5,,0.01,5.5,5.5,0,0,148,5.5
